name,major,pitch
0 BA,6.000,1.000
1 BA,5.287,0.900
2 BA,4.659,0.810
3 BA,4.106,0.729
4 BA,3.618,0.656
5 BA,3.189,0.590
6 BA,2.810,0.531
7 BA,2.476,0.478
8 BA,2.182,0.430
9 BA,1.923,0.387
10 BA,1.695,0.349
11 BA,1.493,0.314
12 BA,1.316,0.282
13 BA,1.160,0.254
14 BA,1.022,0.229
15 BA,0.901,0.206
16 BA,0.794,0.185
17 BA,0.699,0.167
18 BA,0.616,0.150
19 BA,0.543,0.135
20 BA,0.479,0.122
21 BA,0.422,0.109
22 BA,0.372,0.098
23 BA,0.328,0.089
24 BA,0.289,0.080
25 BA,0.254,0.072
1/16 BSP,7.723,0.907
1/8 BSP,9.728,0.907
1/4 BSP,13.157,1.337
3/8 BSP,16.662,1.337
1/2 BSP,20.955,1.814
5/8 BSP,22.911,1.814
3/4 BSP,26.441,1.814
7/8 BSP,30.201,1.814
1 BSP,33.249,2.309
1 1/8 BSP,37.897,2.309
1 1/4 BSP,41.910,2.309
1 3/8 BSP,44.323,2.309
1 1/2 BSP,47.803,2.309
1 5/8 BSP,52.883,2.309
1 3/4 BSP,53.746,2.309
1 7/8 BSP,56.998,2.309
2 BSP,59.614,2.309
2 1/4 BSP,65.710,2.309
2 1/2 BSP,75.184,2.309
2 3/4 BSP,81.534,2.309
3 BSP,87.884,2.309
3 1/4 BSP,93.980,2.309
3 1/2 BSP,100.330,2.309
3 3/4 BSP,106.680,2.309
4 BSP,113.030,2.309
4 1/2 BSP,125.730,2.309
5 BSP,138.430,2.309
5 1/2 BSP,151.130,2.309
6 BSP,163.830,2.309
7 BSP,189.230,2.540
8 BSP,214.630,2.540
9 BSP,240.030,2.540
10 BSP,265.430,2.540
11 BSP,290.830,3.175
12 BSP,316.230,3.175
13 BSP,347.472,3.175
14 BSP,372.872,3.175
15 BSP,398.272,3.175
16 BSP,423.672,3.175
17 BSP,449.072,3.175
18 BSP,474.472,3.175
M1 F,1.00,0.2
M1,1.00,0.25
M1.1,1.10,0.25
M1.1 F,1.10,0.2
M1.2 F,1.20,0.2
M1.2,1.20,0.25
M1.4 F,1.40,0.2
M1.4,1.40,0.30
M1.6 F,1.60,0.2
M1.6,1.60,0.35
M1.8,1.80,0.35
M1.8 F,1.80,0.2
M2 F,2.00,0.25
M2,2.00,0.40
M2.2 F,2.20,0.25
M2.2,2.20,0.45
M2.5 F,2.50,0.35
M2.5,2.50,0.45
M3 F,3.00,0.35
M3,3.00,0.50
M3.5 F,3.50,0.35
M3.5,3.50,0.60
M4 F,4.00,0.5
M4,4.00,0.70
M4.5,4.50,0.75
M4.5 F,4.50,0.5
M5 F,5.00,0.5
M5,5.00,0.80
M5.5,5.50,
M5.5 F,5.50,0.5
M6,6.00,1.00
M6 F,6.00,0.75
M7,7.00,1.00
M7 F,7.00,0.75
M8 F,8.00,1
M8 Fa,8.00,0.75
M8,8.00,1.25
M9,9.00,1.25
M9 F,9.00,1
M9 Fa,9.00,0.75
M10,10.00,1.50
M10 F,10.00,1
M10 Fa,10.00,1.25
M12 F,12.00,1.25
M12 Fa,12.00,1.5
M12,12.00,1.75
M14,14.00,2.00
M14 F,14.00,1.5
M16,16.00,2.00
M16 F,16.00,1.5
M18,18.00,2.50
M18 F,18.00,2
M18 Fa,18.00,1.5
M20 F,20.00,2
M20 Fa,20.00,1.5
M20,20.00,2.50
M22,22.00,2.50
M22 F,22.00,2
M22 Fa,22.00,1.5
M24,24.00,3.00
M24 F,24.00,2
M27,27.00,3.00
M27 F,27.00,2
M30,30.00,3.50
M30 F,30.00,2
M33,33.00,3.50
M33 F,33.00,2
M36,36.00,4.00
M36 F,36.00,3
M39,39.00,4.00
M39 F,39.00,3
M42,42.00,4.50
M42 F,42.00,3
M45,45.00,4.50
M45 F,45.00,3
M48,48.00,5.00
M48 F,48.00,3
M52,52.00,5.00
M52 F,52.00,4
M56,56.00,5.50
M56 F,56.00,4
M60 F,60.00,4
M60,60.00,5.50
M64,64.00,6.00
M64 F,64.00,4
5/16 UNEF,7.93750000,0.79380000
1/2 UNF,12.70000000,1.27000000
#2 UNF,2.18440000,0.39690000
#3 UNF,2.51460000,0.45360000
3/8 UNEF,9.52500000,0.79380000
7/16 UNEF,11.11250000,0.90710000
#4 UNF,2.84480000,0.52920000
#12 UNF,5.48640000,0.90710000
1 UNEF,25.40000000,1.27000000
5/8 UNEF,15.87500000,1.05830000
#6 UNF,3.50520000,0.63500000
#0 UNF,1.52400000,0.31750000
#5 UNC,3.17500000,0.63500000
7/16 UNF,11.11250000,1.27000000
#10 UNC,4.82600000,1.05830000
#2 UNC,2.18440000,0.45360000
7/16 UNC,11.11250000,1.81430000
5/16 UNF,7.93750000,1.05830000
7/8 UNEF,22.22500000,1.27000000
5/16 UNC,7.93750000,1.41110000
9/16 UNEF,14.28750000,1.05830000
#3 UNC,2.51460000,0.52920000
#12 UNC,5.48640000,1.05830000
9/16 UNC,14.28750000,2.11670000
#8 UNF,4.16560000,0.70560000
3/8 UNF,9.52500000,1.05830000
1/2 UNEF,12.70000000,0.90710000
1/4 UNC,6.35000000,1.27000000
#5 UNF,3.17500000,0.57730000
9/16 UNF,14.28750000,1.41110000
3/4 UNF,19.05000000,1.58750000
1 UNC,25.40000000,3.17500000
1/2 UNC,12.70000000,1.95380000
#1 UNF,1.85420000,0.35280000
#10 UNF,4.82600000,0.79380000
1/4 UNEF,6.35000000,0.79380000
1/4 UNF,6.35000000,0.90710000
3/4 UNEF,19.05000000,1.27000000
#12 UNEF,5.48640000,0.79380000
7/8 UNC,22.22500000,2.82220000
1 UNF,25.40000000,2.11670000
3/4 UNC,19.05000000,2.54000000
7/8 UNF,22.22500000,1.81430000
#4 UNC,2.84480000,0.63500000
#8 UNC,4.16560000,0.79380000
#1 UNC,1.85420000,0.39690000
5/8 UNC,15.87500000,2.30910000
5/8 UNF,15.87500000,1.41110000
#6 UNC,3.50520000,0.79380000
3/8 UNC,9.52500000,1.58750000
1/16  BSW,1.588,0.423 
3/32  BSW,2.381,0.529 
1/8  BSW,3.175,0.635 
5/32  BSW,3.969,0.794 
3/16  BSW,4.763,1.058 
7/32  BSW,5.556,1.058 
1/4  BSW,6.350,1.270 
5/16  BSW,7.938,1.411 
3/8  BSW,9.525,1.588 
7/16  BSW,11.113,1.814 
1/2  BSW,12.700,2.117 
9/16  BSW,14.288,2.117 
5/8  BSW,15.875,2.309 
11/16  BSW,17.463,2.309 
3/4  BSW,19.050,2.540 
13/16  BSW,20.638,2.540 
7/8  BSW,22.225,2.822 
15/16  BSW,23.813,2.822 
1  BSW,25.400,3.175 
1 1/8  BSW,28.575,3.629 
1 1/4  BSW,31.750,3.629 
1 3/8  BSW,34.925,4.233 
1 1/2  BSW,38.100,4.233 
1 5/8  BSW,41.275,5.080 
1 3/4  BSW,44.450,5.080 
1 7/8  BSW,47.625,5.644 
2  BSW,50.800,5.644 
2 1/8  BSW,53.975,5.644 
2 1/4  BSW,57.150,6.350 
2 3/8  BSW,60.325,6.350 
2 1/2  BSW,63.500,6.350 
2 5/8  BSW,66.675,6.350 
2 3/4  BSW,69.850,7.257 
2 7/8  BSW,73.025,7.257 
3  BSW,76.200,7.257 
3 1/4  BSW,82.550,7.815 
3 1/2  BSW,88.900,7.815 
3 3/4  BSW,95.250,8.467 
4  BSW,101.600,8.467 
4 1/4  BSW,107.950,8.835 
4 1/2  BSW,114.300,8.835 
4 3/4  BSW,120.650,9.236 
5  BSW,127.000,9.236 
5 1/4  BSW,133.350,9.676 
5 1/2  BSW,139.700,9.676 
5 3/4  BSW,146.050,10.160 
6  BSW,152.400,10.160 
3/16  BSF,4.763,0.7937
7/32  BSF,5.556,0.9071
1/4   BSF,6.350,0.9769
5/16  BSF,7.938,1.1545
3/8   BSF,9.525,1.2700
7/16  BSF,11.113,1.4111
1/2   BSF,12.700,1.5875
9/16  BSF,14.288,1.5875
5/8   BSF,15.875,1.8143
11/16 BSF,17.463,1.8143
3/4   BSF,19.050,2.1167
13/16 BSF,20.638,2.1167
7/8   BSF,22.225,2.3091
1     BSF,25.400,2.5400
1 1/8 BSF,28.575,2.8222
1 1/4 BSF,31.750,2.8222
1 3/8 BSF,34.925,3.1750
1 1/2 BSF,38.100,3.1750
1 5/8 BSF,41.275,3.1750
1 3/4 BSF,44.450,3.6286
2     BSF,50.800,3.6286
2 1/4 BSF,57.150,4.2333
2 1/2 BSF,63.500,4.2333
2 3/4 BSF,69.850,4.2333
3     BSF,76.200,5.0800
1/8  ME,3.175,0.635
5/32 ME,3.969,0.635
3/16 ME,4.763,0.635
7/32 ME,5.556,0.635
1/4  ME 32,6.350,0.794
1/4  ME,6.350,0.635
9/32 ME 32,7.144,0.794
9/32 ME,7.144,0.635
5/16 ME 32,7.938,0.794
5/16 ME,7.938,0.635
3/8  ME 32,9.525,0.794
3/8  ME,9.525,0.635
7/16 ME 32,11.113,0.794
7/16 ME,11.113,0.635
1/2  ME 32,12.700,0.794
1/2  ME,12.700,0.635
